ts            src                des             seq      ack      check(win)      direction         
19.439438      41.177.26.193      244.3.160.248      1      2118      62123      41.177.26.193->244.3.160.248      
19.444650      41.177.26.193      244.3.160.248      1      2118      64240      41.177.26.193->244.3.160.248      
19.481073      41.177.26.193      244.3.160.248      1      2118      64240      41.177.26.193->244.3.160.248      
19.482116      41.177.26.193      244.3.160.248      455      2119      64240      41.177.26.193->244.3.160.248      
19.482228      41.177.26.193      244.3.160.248      455      2119      64240      41.177.26.193->244.3.160.248      
19.510282      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
19.511334      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
19.511338      41.177.26.193      244.3.160.248      1      1845      62396      41.177.26.193->244.3.160.248      
19.514625      41.177.26.193      244.3.160.248      1      1845      64240      41.177.26.193->244.3.160.248      
23.584707      41.177.26.193      244.3.160.248      82155      4118      64240      41.177.26.193->244.3.160.248      
30.624117      41.177.26.193      244.3.160.248      1      1845      64240      41.177.26.193->244.3.160.248      
30.624138      41.177.26.193      244.3.160.248      1461      1845      64240      41.177.26.193->244.3.160.248      
30.624158      41.177.26.193      244.3.160.248      2921      1845      64240      41.177.26.193->244.3.160.248      
30.624906      41.177.26.193      244.3.160.248      4381      1845      64240      41.177.26.193->244.3.160.248      
30.624928      41.177.26.193      244.3.160.248      5841      1845      64240      41.177.26.193->244.3.160.248      
30.625291      41.177.26.193      244.3.160.248      7301      1845      64240      41.177.26.193->244.3.160.248      
30.625322      41.177.26.193      244.3.160.248      8761      1845      64240      41.177.26.193->244.3.160.248      
30.625676      41.177.26.193      244.3.160.248      10221      1845      64240      41.177.26.193->244.3.160.248      
30.625758      41.177.26.193      244.3.160.248      11681      1845      64240      41.177.26.193->244.3.160.248      
30.625788      41.177.26.193      244.3.160.248      13141      1845      64240      41.177.26.193->244.3.160.248      
30.626089      41.177.26.193      244.3.160.248      14601      1845      64240      41.177.26.193->244.3.160.248      
30.626115      41.177.26.193      244.3.160.248      16061      1845      64240      41.177.26.193->244.3.160.248      
30.626143      41.177.26.193      244.3.160.248      17521      1845      64240      41.177.26.193->244.3.160.248      
30.626879      41.177.26.193      244.3.160.248      18981      1845      64240      41.177.26.193->244.3.160.248      
30.626913      41.177.26.193      244.3.160.248      20441      1845      64240      41.177.26.193->244.3.160.248      
30.626942      41.177.26.193      244.3.160.248      21901      1845      64240      41.177.26.193->244.3.160.248      
30.626979      41.177.26.193      244.3.160.248      23361      1845      64240      41.177.26.193->244.3.160.248      
30.627009      41.177.26.193      244.3.160.248      24821      1845      64240      41.177.26.193->244.3.160.248      
30.627040      41.177.26.193      244.3.160.248      26281      1845      64240      41.177.26.193->244.3.160.248      
30.627072      41.177.26.193      244.3.160.248      27741      1845      64240      41.177.26.193->244.3.160.248      
30.627102      41.177.26.193      244.3.160.248      29201      1845      64240      41.177.26.193->244.3.160.248      
30.627150      41.177.26.193      244.3.160.248      30661      1845      64240      41.177.26.193->244.3.160.248      
30.627660      41.177.26.193      244.3.160.248      32121      1845      64240      41.177.26.193->244.3.160.248      
30.627695      41.177.26.193      244.3.160.248      33581      1845      64240      41.177.26.193->244.3.160.248      
30.627716      41.177.26.193      244.3.160.248      35041      1845      64240      41.177.26.193->244.3.160.248      
30.627844      41.177.26.193      244.3.160.248      36501      1845      64240      41.177.26.193->244.3.160.248      
30.627865      41.177.26.193      244.3.160.248      37961      1845      64240      41.177.26.193->244.3.160.248      
30.627896      41.177.26.193      244.3.160.248      39421      1845      64240      41.177.26.193->244.3.160.248      
30.628575      41.177.26.193      244.3.160.248      40881      1845      64240      41.177.26.193->244.3.160.248      
30.628584      41.177.26.193      244.3.160.248      42341      1845      64240      41.177.26.193->244.3.160.248      
30.628599      41.177.26.193      244.3.160.248      43801      1845      64240      41.177.26.193->244.3.160.248      
30.631107      41.177.26.193      244.3.160.248      45261      1845      64240      41.177.26.193->244.3.160.248      
30.631134      41.177.26.193      244.3.160.248      46721      1845      64240      41.177.26.193->244.3.160.248      
30.631160      41.177.26.193      244.3.160.248      48181      1845      64240      41.177.26.193->244.3.160.248      
30.631183      41.177.26.193      244.3.160.248      49641      1845      64240      41.177.26.193->244.3.160.248      
30.631209      41.177.26.193      244.3.160.248      51101      1845      64240      41.177.26.193->244.3.160.248      
30.631236      41.177.26.193      244.3.160.248      52561      1845      64240      41.177.26.193->244.3.160.248      
30.631256      41.177.26.193      244.3.160.248      54021      1845      64240      41.177.26.193->244.3.160.248      
30.631291      41.177.26.193      244.3.160.248      55481      1845      64240      41.177.26.193->244.3.160.248      
30.631311      41.177.26.193      244.3.160.248      56941      1845      64240      41.177.26.193->244.3.160.248      
30.634033      41.177.26.193      244.3.160.248      58401      1845      64240      41.177.26.193->244.3.160.248      
30.634060      41.177.26.193      244.3.160.248      59861      1845      64240      41.177.26.193->244.3.160.248      
30.634087      41.177.26.193      244.3.160.248      61321      1845      64240      41.177.26.193->244.3.160.248      
30.634107      41.177.26.193      244.3.160.248      62781      1845      64240      41.177.26.193->244.3.160.248      
30.634164      41.177.26.193      244.3.160.248      64241      1845      64240      41.177.26.193->244.3.160.248      
30.634173      41.177.26.193      244.3.160.248      65701      1845      64240      41.177.26.193->244.3.160.248      
30.634198      41.177.26.193      244.3.160.248      67161      1845      64240      41.177.26.193->244.3.160.248      
30.634223      41.177.26.193      244.3.160.248      68621      1845      64240      41.177.26.193->244.3.160.248      
30.634269      41.177.26.193      244.3.160.248      70081      1845      64240      41.177.26.193->244.3.160.248      
30.634277      41.177.26.193      244.3.160.248      71541      1845      64240      41.177.26.193->244.3.160.248      
30.634303      41.177.26.193      244.3.160.248      73001      1845      64240      41.177.26.193->244.3.160.248      
30.634327      41.177.26.193      244.3.160.248      74461      1845      64240      41.177.26.193->244.3.160.248      
30.634356      41.177.26.193      244.3.160.248      75921      1845      64240      41.177.26.193->244.3.160.248      
30.634700      41.177.26.193      244.3.160.248      77381      1845      64240      41.177.26.193->244.3.160.248      
30.634726      41.177.26.193      244.3.160.248      78841      1845      64240      41.177.26.193->244.3.160.248      
30.634941      41.177.26.193      244.3.160.248      80301      1845      64240      41.177.26.193->244.3.160.248      
30.634965      41.177.26.193      244.3.160.248      81761      1845      64240      41.177.26.193->244.3.160.248      
30.634991      41.177.26.193      244.3.160.248      83221      1845      64240      41.177.26.193->244.3.160.248      
30.635012      41.177.26.193      244.3.160.248      84681      1845      64240      41.177.26.193->244.3.160.248      
30.637091      41.177.26.193      244.3.160.248      86141      1845      64240      41.177.26.193->244.3.160.248      
30.637111      41.177.26.193      244.3.160.248      87601      1845      64240      41.177.26.193->244.3.160.248      
30.637149      41.177.26.193      244.3.160.248      89061      1845      64240      41.177.26.193->244.3.160.248      
30.637172      41.177.26.193      244.3.160.248      90521      1845      64240      41.177.26.193->244.3.160.248      
30.637197      41.177.26.193      244.3.160.248      91981      1845      64240      41.177.26.193->244.3.160.248      
30.637217      41.177.26.193      244.3.160.248      93441      1845      64240      41.177.26.193->244.3.160.248      
30.638314      41.177.26.193      244.3.160.248      94901      1845      64240      41.177.26.193->244.3.160.248      
30.638340      41.177.26.193      244.3.160.248      96361      1845      64240      41.177.26.193->244.3.160.248      
30.638364      41.177.26.193      244.3.160.248      97821      1845      64240      41.177.26.193->244.3.160.248      
30.638388      41.177.26.193      244.3.160.248      99281      1845      64240      41.177.26.193->244.3.160.248      
30.638412      41.177.26.193      244.3.160.248      100741      1845      64240      41.177.26.193->244.3.160.248      
30.638433      41.177.26.193      244.3.160.248      102201      1845      64240      41.177.26.193->244.3.160.248      
30.638526      41.177.26.193      244.3.160.248      103661      1845      64240      41.177.26.193->244.3.160.248      
30.638562      41.177.26.193      244.3.160.248      105121      1845      64240      41.177.26.193->244.3.160.248      
30.638582      41.177.26.193      244.3.160.248      106581      1845      64240      41.177.26.193->244.3.160.248      
30.638610      41.177.26.193      244.3.160.248      108041      1845      64240      41.177.26.193->244.3.160.248      
30.638645      41.177.26.193      244.3.160.248      109501      1845      64240      41.177.26.193->244.3.160.248      
30.638665      41.177.26.193      244.3.160.248      110961      1845      64240      41.177.26.193->244.3.160.248      
30.638700      41.177.26.193      244.3.160.248      112421      1845      64240      41.177.26.193->244.3.160.248      
30.638726      41.177.26.193      244.3.160.248      113881      1845      64240      41.177.26.193->244.3.160.248      
30.638751      41.177.26.193      244.3.160.248      115341      1845      64240      41.177.26.193->244.3.160.248      
30.638772      41.177.26.193      244.3.160.248      116801      1845      64240      41.177.26.193->244.3.160.248      
30.640014      41.177.26.193      244.3.160.248      118261      1845      64240      41.177.26.193->244.3.160.248      
30.640040      41.177.26.193      244.3.160.248      119721      1845      64240      41.177.26.193->244.3.160.248      
30.640067      41.177.26.193      244.3.160.248      121181      1845      64240      41.177.26.193->244.3.160.248      
30.640094      41.177.26.193      244.3.160.248      122641      1845      64240      41.177.26.193->244.3.160.248      
30.640120      41.177.26.193      244.3.160.248      124101      1845      64240      41.177.26.193->244.3.160.248      
30.640151      41.177.26.193      244.3.160.248      125561      1845      64240      41.177.26.193->244.3.160.248      
30.640640      41.177.26.193      244.3.160.248      127021      1845      64240      41.177.26.193->244.3.160.248      
30.640677      41.177.26.193      244.3.160.248      128481      1845      64240      41.177.26.193->244.3.160.248      
30.640703      41.177.26.193      244.3.160.248      129941      1845      64240      41.177.26.193->244.3.160.248      
30.640729      41.177.26.193      244.3.160.248      131401      1845      64240      41.177.26.193->244.3.160.248      
30.640755      41.177.26.193      244.3.160.248      132861      1845      64240      41.177.26.193->244.3.160.248      
30.640776      41.177.26.193      244.3.160.248      134321      1845      64240      41.177.26.193->244.3.160.248      
30.656930      41.177.26.193      244.3.160.248      135781      1845      64240      41.177.26.193->244.3.160.248      
30.656961      41.177.26.193      244.3.160.248      137241      1845      64240      41.177.26.193->244.3.160.248      
30.656997      41.177.26.193      244.3.160.248      138701      1845      64240      41.177.26.193->244.3.160.248      
30.657034      41.177.26.193      244.3.160.248      140161      1845      64240      41.177.26.193->244.3.160.248      
30.657061      41.177.26.193      244.3.160.248      141621      1845      64240      41.177.26.193->244.3.160.248      
30.657083      41.177.26.193      244.3.160.248      143081      1845      64240      41.177.26.193->244.3.160.248      
30.657113      41.177.26.193      244.3.160.248      144541      1845      64240      41.177.26.193->244.3.160.248      
30.657148      41.177.26.193      244.3.160.248      146001      1845      64240      41.177.26.193->244.3.160.248      
30.657176      41.177.26.193      244.3.160.248      147461      1845      64240      41.177.26.193->244.3.160.248      
